step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
150,-157.67999267578125,63.9617919921875,62.05436325073242,19.92237434387207,-157.67999267578125,-153.0,25.52288246154785,-222.25999450683594,-205.0,-189.1999969482422,-174.25,-153.0,-135.75,-130.0,-122.95000457763672,-119.93998718261719
300,-165.33999633789062,63.98093795776367,63.481998443603516,9.790958404541016,-165.33999633789062,-163.0,25.08713722229004,-222.25999450683594,-209.10000610351562,-200.1999969482422,-178.75,-163.0,-146.75,-134.89999389648438,-130.90000915527344,-121.89997863769531
450,-186.3199920654297,64.04209899902344,63.80143356323242,6.303683567047119,-186.32000732421875,-185.5,26.815994262695312,-252.0,-235.10000610351562,-221.10000610351562,-202.5,-185.5,-165.0,-153.8000030517578,-145.95001220703125,-142.9399871826172
600,-204.87998962402344,64.05157470703125,63.9107780456543,4.515984439849854,-204.8800048828125,-203.5,27.095121383666992,-259.0400085449219,-253.0500030517578,-246.10000610351562,-218.0,-203.5,-187.0,-167.89999389648438,-162.95001220703125,-155.91998291015625
750,-220.6599884033203,64.12496185302734,64.03003692626953,3.414613699913025,-220.66000366210938,-216.5,27.086606979370117,-270.4200134277344,-265.1000061035156,-261.1000061035156,-236.25,-216.5,-199.75,-189.89999389648438,-179.80001831054688,-172.97999572753906
900,-230.6999969482422,64.10629272460938,64.03514862060547,2.7614748954772947,-230.6999969482422,-225.0,27.322336196899414,-297.1199951171875,-272.25,-268.1000061035156,-249.5,-225.0,-209.0,-199.0,-194.85000610351562,-189.95999145507812
1050,-238.1999969482422,64.09575653076172,64.03916931152344,2.3414130926132204,-238.1999969482422,-237.0,26.285356521606445,-297.1199951171875,-281.25,-271.20001220703125,-255.0,-237.0,-221.75,-200.89999389648438,-198.0,-194.9399871826172
1200,-242.79998779296875,64.1335220336914,64.08673858642578,2.0296417593955995,-242.8000030517578,-241.0,26.080644607543945,-297.3999938964844,-283.3500061035156,-274.0,-259.25,-241.0,-226.5,-209.89999389648438,-200.95001220703125,-198.9399871826172
1350,-247.5,64.17859649658203,64.1396713256836,1.7686399579048158,-247.5,-245.5,26.377073287963867,-308.260009765625,-290.29998779296875,-279.20001220703125,-265.25,-245.5,-229.0,-215.8000030517578,-202.0,-200.97999572753906
1500,-252.25999450683594,64.1574478149414,64.1240005493164,1.5523965716362,-252.25999450683594,-250.0,26.685810089111328,-321.0,-290.29998779296875,-283.20001220703125,-272.0,-250.0,-235.0,-217.8000030517578,-208.95001220703125,-201.97999572753906
