# epsilon_svgd: 0.1
# lambda_: 15
# gamma: 0.005
# decay_start_ratio: 0.8
# decay_min_factor: 0.1
# decay_enabled: False
# kernel: rbf
# advantage: peragentrankweighted
# M: 3
# mode: normal
# budget: 30000
step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
45,-263.94000244140625,123.56962585449219,27.921287536621094,167.98404947916666,-263.94000244140625,-262.5,53.978668212890625,-384.6199951171875,-349.29998779296875,-327.29998779296875,-295.25,-262.5,-224.5,-198.60000610351562,-179.0,-163.97999572753906
90,-289.5199890136719,120.08494567871094,36.13010025024414,160.6606241861979,-289.5199890136719,-282.0,52.65956497192383,-415.8800048828125,-373.54998779296875,-355.0,-319.0,-282.0,-259.0,-232.8000030517578,-215.5500030517578,-194.67999267578125
135,-317.1199951171875,117.00590515136719,41.595645904541016,154.15736389160156,-317.1199951171875,-311.0,54.87263107299805,-459.0799865722656,-414.04998779296875,-384.0,-349.5,-311.0,-280.75,-268.29998779296875,-245.64999389648438,-231.5399932861328
180,-333.91998291015625,114.32295989990234,45.490196228027344,148.48009745279947,-333.9200134277344,-327.0,50.941280364990234,-459.0799865722656,-415.1000061035156,-395.1000061035156,-361.0,-327.0,-293.5,-277.0,-271.0,-255.94000244140625
225,-364.3599853515625,111.98246765136719,48.66300964355469,143.25445556640625,-364.3599853515625,-357.5,54.405242919921875,-470.17999267578125,-459.20001220703125,-431.79998779296875,-399.5,-357.5,-326.5,-294.8999938964844,-289.0,-278.9200134277344
270,-399.5,109.63610076904297,51.0958366394043,138.25748697916666,-399.5,-400.0,52.04469299316406,-516.6599731445312,-470.1000061035156,-459.3999938964844,-434.75,-400.0,-368.5,-336.6000061035156,-310.6000061035156,-298.79998779296875
315,-430.94000244140625,107.49992370605469,53.07029342651367,133.6958211263021,-430.94000244140625,-436.0,54.656532287597656,-549.1199951171875,-526.0999755859375,-502.8999938964844,-467.0,-436.0,-390.5,-358.79998779296875,-342.79998779296875,-317.8599853515625
360,-461.0199890136719,105.33628845214844,54.591880798339844,129.27224731445312,-461.0199890136719,-464.0,60.34881591796875,-580.0599975585938,-555.4000244140625,-526.2000122070312,-497.25,-464.0,-421.0,-384.8999938964844,-379.8500061035156,-356.8999938964844
405,-492.53997802734375,103.41183471679688,55.9517822265625,125.1392339070638,-492.5400085449219,-487.0,67.43536376953125,-651.2999877929688,-611.1500244140625,-580.2999877929688,-526.0,-487.0,-453.0,-412.6000061035156,-394.75,-382.5
450,-527.3599853515625,101.4052734375,56.893829345703125,121.1327387491862,-527.3599853515625,-517.5,65.78275299072266,-661.0999755859375,-645.2000122070312,-622.0,-577.5,-517.5,-479.0,-449.8999938964844,-426.8999938964844,-412.9200134277344
