# epsilon_svgd: 0.007
# lambda_: 7
# gamma: 5e-05
# decay_start_ratio: 0.8
# decay_min_factor: 0.1
# decay_enabled: False
# kernel: rbf
# advantage: peragentrankweighted
# M: 20
# mode: no_interact
# budget: 20000
step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
140,-73.87999725341797,31.942882537841797,31.188194274902344,7.1264654159545895,-73.87999725341797,-72.5,11.707502365112305,-98.04000091552734,-95.0999984741211,-93.0,-80.25,-72.5,-66.0,-61.0,-55.95000076293945,-53.97999954223633
280,-77.55999755859375,31.954410552978516,31.933124542236328,1.121784618496895,-77.55999755859375,-75.0,11.565742492675781,-100.0199966430664,-98.0,-95.0,-87.0,-75.0,-69.0,-64.0,-63.0,-59.86000061035156
420,-79.04000091552734,31.95260238647461,31.946130752563477,0.2789635680615902,-79.04000091552734,-77.0,11.67554759979248,-101.0,-98.0,-95.0,-88.25,-77.0,-70.0,-65.80000305175781,-63.95000076293945,-59.880001068115234
560,-79.19999694824219,31.952884674072266,31.946807861328125,0.19037700891494752,-79.19999694824219,-77.0,11.755849838256836,-101.0,-98.0,-95.19999694824219,-89.0,-77.0,-70.0,-66.0,-63.95000076293945,-59.880001068115234
700,-79.47999572753906,31.952430725097656,31.94644546508789,0.1814420700073242,-79.4800033569336,-77.0,11.783445358276367,-101.04000091552734,-98.0,-95.19999694824219,-89.0,-77.0,-70.0,-66.0,-64.0,-59.880001068115234
840,-79.58000183105469,31.95433235168457,31.948467254638672,0.18179528042674065,-79.58000183105469,-77.0,11.861854553222656,-101.04000091552734,-98.0,-95.19999694824219,-89.0,-77.0,-70.0,-66.0,-64.0,-59.880001068115234
980,-79.77999877929688,31.953624725341797,31.947837829589844,0.17755638882517816,-79.77999877929688,-77.0,11.934471130371094,-101.04000091552734,-98.0,-95.19999694824219,-89.5,-77.0,-70.0,-66.0,-64.0,-59.880001068115234
1120,-80.0199966430664,31.95022201538086,31.94451904296875,0.17692451924085617,-80.0199966430664,-78.0,12.029946327209473,-101.04000091552734,-98.0,-95.19999694824219,-91.0,-78.0,-70.0,-66.0,-64.0,-59.880001068115234
1260,-80.13999938964844,31.952077865600586,31.946455001831055,0.17704574167728424,-80.13999938964844,-78.0,11.888666152954102,-101.04000091552734,-98.0,-95.19999694824219,-91.0,-78.0,-70.75,-66.0,-64.0,-62.81999969482422
1400,-80.18000030517578,31.949438095092773,31.943904876708984,0.17295038774609567,-80.18000030517578,-78.0,11.856121063232422,-101.04000091552734,-98.0,-95.19999694824219,-91.0,-78.0,-70.75,-66.0,-64.0,-62.84000015258789
