# epsilon_svgd: 0.03
# lambda_: 25
# gamma: 0.001
# decay_start_ratio: 0.8
# decay_min_factor: 0.1
# decay_enabled: False
# kernel: pk
# advantage: peragentrankweighted
# M: 3
# mode: no_interact
# budget: 20000
step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
75,-290.97998046875,127.7807846069336,88.38432312011719,124.04149373372395,-290.9800109863281,-292.5,54.075313568115234,-403.32000732421875,-381.20001220703125,-357.29998779296875,-327.5,-292.5,-245.0,-220.8000030517578,-209.9499969482422,-197.94000244140625
150,-315.1999816894531,128.13406372070312,102.78465270996094,101.95236206054688,-315.20001220703125,-320.0,43.668983459472656,-403.32000732421875,-385.3999938964844,-371.0,-338.0,-320.0,-285.75,-254.8000030517578,-240.89999389648438,-237.75999450683594
225,-388.47998046875,128.01748657226562,109.87960052490234,86.81944529215495,-388.4800109863281,-390.0,50.84043502807617,-497.0,-485.5,-455.3999938964844,-415.0,-390.0,-350.75,-322.8999938964844,-309.8500061035156,-298.6000061035156
300,-494.3999938964844,128.24209594726562,114.52983093261719,75.49933369954427,-494.3999938964844,-490.0,56.983333587646484,-629.719970703125,-576.2000122070312,-555.0999755859375,-523.5,-490.0,-457.0,-425.0,-408.6499938964844,-394.9599914550781
375,-592.3599853515625,128.34605407714844,117.5726318359375,66.48926289876302,-592.3599853515625,-592.5,49.85629653930664,-692.3599853515625,-669.0499877929688,-658.5,-629.0,-592.5,-553.5,-530.9000244140625,-521.9500122070312,-498.9200134277344
450,-678.1799926757812,128.5034637451172,119.91329193115234,58.896952311197914,-678.1799926757812,-678.0,52.928131103515625,-795.1599731445312,-762.0,-753.2000122070312,-719.0,-678.0,-640.75,-611.7999877929688,-597.0,-574.9600219726562
525,-752.5,128.3893280029297,121.3689193725586,52.526285807291664,-752.5,-749.0,49.64765930175781,-859.5599975585938,-829.9500122070312,-816.2999877929688,-787.0,-749.0,-717.0,-691.9000244140625,-682.7999877929688,-664.97998046875
600,-817.8399658203125,128.64785766601562,122.82188415527344,47.15409723917643,-817.8400268554688,-813.0,49.55677795410156,-909.239990234375,-889.25,-879.4000244140625,-849.5,-813.0,-789.0,-749.0,-741.9500122070312,-734.9600219726562
675,-876.8399658203125,128.62188720703125,123.73796081542969,42.540234883626304,-876.8400268554688,-874.0,47.59111785888672,-1002.6199951171875,-947.2000122070312,-926.0999755859375,-901.25,-874.0,-849.75,-821.0,-810.7000122070312,-790.9199829101562
750,-931.1799926757812,128.69436645507812,124.52010345458984,38.57225799560547,-931.1799926757812,-921.5,53.700164794921875,-1066.1199951171875,-1030.949951171875,-1006.5,-962.75,-921.5,-898.5,-865.0,-854.9000244140625,-840.8599853515625
825,-971.3599853515625,128.84503173828125,125.19133758544922,35.351006825764976,-971.3599853515625,-966.0,53.20535659790039,-1089.0400390625,-1066.0,-1053.0999755859375,-994.25,-966.0,-935.75,-910.7999877929688,-894.7000122070312,-881.0
900,-1008.5199584960938,128.7593994140625,125.55977630615234,32.49314880371094,-1008.52001953125,-1003.0,48.92473602294922,-1103.9599609375,-1092.0999755859375,-1068.800048828125,-1037.5,-1003.0,-975.75,-956.0,-932.9500122070312,-925.6599731445312
975,-1041.5399169921875,128.95469665527344,126.14000701904297,29.907454172770183,-1041.5400390625,-1036.5,50.994197845458984,-1152.0799560546875,-1136.550048828125,-1115.4000244140625,-1067.25,-1036.5,-1005.75,-974.5999755859375,-962.9000244140625,-957.9400024414062
1050,-1072.179931640625,128.9620361328125,126.45296478271484,27.524680455525715,-1072.1800537109375,-1061.0,50.252437591552734,-1188.3199462890625,-1158.550048828125,-1141.199951171875,-1094.25,-1061.0,-1041.25,-1015.0,-1003.0,-981.760009765625
1125,-1098.1600341796875,128.95269775390625,126.71916198730469,25.33405876159668,-1098.1600341796875,-1091.0,49.939510345458984,-1206.4599609375,-1188.199951171875,-1169.0,-1126.0,-1091.0,-1065.0,-1041.9000244140625,-1023.8499755859375,-1014.5399780273438
1200,-1122.719970703125,129.0708465576172,127.06504821777344,23.547625223795574,-1122.719970703125,-1117.5,50.035003662109375,-1218.739990234375,-1208.300048828125,-1193.0999755859375,-1162.5,-1117.5,-1088.75,-1064.9000244140625,-1052.9000244140625,-1038.8399658203125
1275,-1143.4599609375,128.99143981933594,127.1754150390625,21.981869379679363,-1143.4599609375,-1137.0,49.92683029174805,-1261.239990234375,-1222.25,-1205.300048828125,-1178.75,-1137.0,-1106.5,-1082.9000244140625,-1067.0,-1054.9599609375
1350,-1163.4000244140625,128.9622344970703,127.28984069824219,20.51385243733724,-1163.4000244140625,-1160.5,50.198604583740234,-1272.1600341796875,-1254.1500244140625,-1222.5,-1198.25,-1160.5,-1126.5,-1103.0999755859375,-1088.800048828125,-1080.8399658203125
1425,-1179.919921875,128.9607696533203,127.42184448242188,19.21518834431966,-1179.9200439453125,-1175.0,50.03731918334961,-1286.0799560546875,-1269.0,-1237.5,-1208.75,-1175.0,-1145.5,-1116.4000244140625,-1103.0,-1090.9599609375
1500,-1199.0399169921875,128.97805786132812,127.55623626708984,18.024869918823242,-1199.0400390625,-1200.0,50.11485290527344,-1302.1199951171875,-1287.449951171875,-1263.5999755859375,-1224.75,-1200.0,-1162.75,-1137.0,-1127.949951171875,-1116.6400146484375
1575,-1214.760009765625,129.01596069335938,127.712158203125,16.907901128133137,-1214.760009765625,-1215.5,50.66796112060547,-1316.6800537109375,-1299.1500244140625,-1287.199951171875,-1243.0,-1215.5,-1174.75,-1148.800048828125,-1136.9000244140625,-1131.0
1650,-1228.5399169921875,128.93896484375,127.73494720458984,15.988217989603678,-1228.5400390625,-1229.0,50.00688552856445,-1330.4000244140625,-1314.050048828125,-1293.300048828125,-1252.0,-1229.0,-1187.75,-1166.800048828125,-1156.5,-1136.9599609375
1725,-1240.6199951171875,128.91001892089844,127.77779388427734,15.102703412373861,-1240.6199951171875,-1240.0,47.84595489501953,-1340.43994140625,-1319.0999755859375,-1303.199951171875,-1273.25,-1240.0,-1207.75,-1174.800048828125,-1168.75,-1162.800048828125
1800,-1251.2999267578125,128.90782165527344,127.84881591796875,14.297157923380533,-1251.300048828125,-1246.5,47.96550750732422,-1359.1800537109375,-1335.949951171875,-1314.5999755859375,-1279.5,-1246.5,-1212.75,-1188.800048828125,-1182.699951171875,-1170.9599609375
1875,-1262.9599609375,128.8765869140625,127.89424133300781,13.565669695536295,-1262.9599609375,-1263.0,47.71266555786133,-1378.02001953125,-1345.550048828125,-1326.5,-1293.0,-1263.0,-1228.25,-1202.0,-1190.800048828125,-1180.9200439453125
